date,direction,ticker,volume,price,market_price
2021-03-03,long,XLC,46.412327114081506,71.82,71.82
2021-03-03,long,XLP,52.46864998163598,63.53,63.53
2021-03-10,long,XLU,110.09574137546336,30.87,30.87
2021-03-10,long,XLB,87.0780306497708,39.03,39.03
2021-03-10,long,XLRE,89.8877422972905,37.81,37.81
2021-03-17,long,XLRE,89.8877422972905,37.81,39.41
2021-03-17,long,XLC,45.61052762876045,76.02,76.02
2021-03-17,long,XLP,52.20283514511246,66.42,66.42
2021-03-17,short,XLK,51.86705026684173,66.85,66.85
2021-03-24,long,XLRE,89.8877422972905,37.81,38.63
2021-03-24,long,XLB,89.9436267869489,38.325,38.325
2021-03-24,long,XLI,36.23556708304233,95.13,95.13
2021-03-24,short,XLE,140.6114418360113,24.515,24.515
2021-03-24,short,XLF,103.57841035486227,33.28,33.28
2021-03-31,long,XLRE,89.8877422972905,37.81,39.49
2021-03-31,long,XLB,89.9436267869489,38.325,39.4
2021-03-31,long,XLI,36.23556708304233,95.13,98.45
2021-03-31,short,XLF,103.57841035486227,33.28,34.05
2021-03-31,short,XLC,47.98008220638301,73.32,73.32
2021-03-31,short,XLY,41.862314837532004,84.035,84.035
2021-04-07,long,XLB,89.9436267869489,38.325,39.63
2021-04-07,long,XLI,36.23556708304233,95.13,99.3
2021-04-07,long,XLU,106.00024419918513,32.47,32.47
2021-04-07,short,XLE,140.05403577406068,24.575,24.575
2021-04-14,long,XLB,89.9436267869489,38.325,40.36
2021-04-14,long,XLI,36.23556708304233,95.13,100.52
2021-04-14,long,XLV,29.482775392162292,118.55,118.55
2021-04-14,short,XLE,140.05403577406068,24.575,24.595
2021-04-21,long,XLI,36.23556708304233,95.13,100.97
2021-04-21,long,XLK,50.85665207887969,71.135,71.135
2021-04-21,long,XLP,51.48268031352081,70.27,70.27
2021-04-21,short,XLE,140.05403577406068,24.575,23.835
2021-04-21,short,XLC,47.519873185749475,76.13,76.13
2021-04-28,long,XLI,36.23556708304233,95.13,101.89
2021-04-28,long,XLK,50.85665207887969,71.135,70.875
2021-04-28,long,XLC,45.82153787397942,77.0,77.0
2021-04-28,short,XLP,51.2902808009364,68.79,68.79
2021-05-05,long,XLI,36.23556708304233,95.13,103.53
2021-05-05,long,XLV,28.310975705518068,123.06,123.06
2021-05-05,long,XLP,49.95624706511405,69.74,69.74
2021-05-05,short,XLU,106.64060821307173,32.67,32.67
2021-05-05,short,XLK,51.05434745488063,68.24,68.24
2021-05-05,short,XLY,39.666955144267945,87.83,87.83
2021-05-12,long,XLV,28.310975705518068,123.06,121.73
2021-05-12,long,XLP,49.95624706511405,69.74,69.62
2021-05-12,long,XLRE,86.86223300764613,41.04,41.04
2021-05-12,short,XLK,51.05434745488063,68.24,65.655
2021-05-12,short,XLY,39.666955144267945,87.83,83.325
2021-05-12,short,XLC,47.493019486195,75.06,75.06
2021-05-19,long,XLV,28.310975705518068,123.06,123.05
2021-05-19,long,XLP,49.95624706511405,69.74,70.36
2021-05-19,long,XLRE,86.86223300764613,41.04,41.89
2021-05-19,short,XLK,51.05434745488063,68.24,67.185
2021-05-19,short,XLY,39.666955144267945,87.83,83.84
2021-05-19,short,XLC,47.493019486195,75.06,75.82
2021-05-26,long,XLV,28.310975705518068,123.06,123.39
2021-05-26,long,XLP,49.95624706511405,69.74,71.1
2021-05-26,long,XLRE,86.86223300764613,41.04,43.02
2021-05-26,short,XLY,39.666955144267945,87.83,86.195
2021-05-26,short,XLU,107.3940151008308,32.625,32.625
2021-05-26,short,XLB,80.86152187086557,43.33,43.33
2021-06-02,long,XLP,49.95624706511405,69.74,70.83
2021-06-02,long,XLK,50.74573916918522,69.335,69.335
2021-06-02,long,XLI,33.43586263703751,105.23,105.23
2021-06-02,short,XLU,107.3940151008308,32.625,32.55
2021-06-02,short,XLB,80.86152187086557,43.33,43.87
2021-06-02,short,XLV,28.999058973835467,121.33,121.33
2021-06-09,long,XLK,50.74573916918522,69.335,70.05
2021-06-09,long,XLI,33.43586263703751,105.23,103.81
2021-06-09,long,XLC,44.15021563193178,79.29,79.29
2021-06-09,short,XLU,107.3940151008308,32.625,32.765
2021-06-09,short,XLB,80.86152187086557,43.33,43.16
2021-06-09,short,XLV,28.999058973835467,121.33,123.33
2021-06-16,long,XLK,50.74573916918522,69.335,70.88
2021-06-16,long,XLP,50.48567159214622,69.79,69.79
2021-06-16,long,XLY,40.869910920031145,86.21,86.21
2021-06-16,short,XLB,80.86152187086557,43.33,41.97
2021-06-16,short,XLF,94.71491990365281,37.2,37.2
2021-06-16,short,XLI,34.37458556503302,102.5,102.5
2021-06-23,long,XLK,50.74573916918522,69.335,72.245
2021-06-23,long,XLC,45.53290658155736,79.8,79.8
2021-06-23,long,XLRE,81.50574125635437,44.58,44.58
2021-06-23,short,XLB,80.86152187086557,43.33,40.93
2021-06-23,short,XLF,94.71491990365281,37.2,36.04
2021-06-23,short,XLP,52.80520193588544,68.81,68.81
2021-06-30,long,XLK,50.74573916918522,69.335,73.83
2021-06-30,long,XLRE,81.50574125635437,44.58,44.33
2021-06-30,long,XLP,51.797886346483615,69.97,69.97
2021-06-30,short,XLB,80.86152187086557,43.33,41.155
2021-06-30,short,XLE,134.55719724015069,26.935,26.935
2021-06-30,short,XLU,114.63856105214167,31.615,31.615
2021-07-07,long,XLRE,81.50574125635437,44.58,45.35
2021-07-07,long,XLP,51.797886346483615,69.97,70.01
2021-07-07,long,XLV,28.63266492496674,128.98,128.98
2021-07-07,short,XLE,134.55719724015069,26.935,26.025
2021-07-14,long,XLV,28.63266492496674,128.98,128.72
2021-07-14,long,XLC,45.75831347255702,81.95,81.95
2021-07-14,long,XLI,36.541549299123446,102.62,102.62
2021-07-14,short,XLE,134.55719724015069,26.935,25.405
2021-07-14,short,XLF,102.73681613906982,36.5,36.5
2021-07-21,long,XLV,28.63266492496674,128.98,129.03
2021-07-21,long,XLRE,81.92901299943753,46.19,46.19
2021-07-21,long,XLY,41.84553668871587,90.435,90.435
2021-07-21,short,XLF,102.73681613906982,36.5,36.6
2021-07-21,short,XLC,46.60469347837463,81.2,81.2
2021-07-21,short,XLB,93.28980920606483,40.565,40.565
2021-07-28,long,XLRE,81.92901299943753,46.19,46.37
2021-07-28,long,XLY,41.84553668871587,90.435,91.085
2021-07-28,long,XLP,53.03908068486043,71.04,71.04
2021-07-28,short,XLB,93.28980920606483,40.565,41.385
2021-07-28,short,XLE,151.59510327308328,24.855,24.855
2021-07-28,short,XLI,36.67052352167869,102.75,102.75
2021-08-04,long,XLY,41.84553668871587,90.435,90.26
2021-08-04,long,XLP,53.03908068486043,71.04,70.6
2021-08-04,long,XLE,155.77857722566543,24.255,24.255
2021-08-04,short,XLP,53.51854660918576,70.6,70.6
2021-08-11,long,XLY,41.84553668871587,90.435,91.0
2021-08-11,long,XLP,53.03908068486043,71.04,71.95
2021-08-11,long,XLE,155.77857722566543,24.255,25.03
2021-08-11,short,XLC,46.135176878046536,82.99,82.99
2021-08-11,short,XLK,49.96096208141295,76.635,76.635
2021-08-11,short,XLRE,82.74818087549345,46.27,46.27
2021-08-18,long,XLP,53.03908068486043,71.04,72.06
2021-08-18,long,XLE,155.77857722566543,24.255,23.505
2021-08-18,long,XLK,49.08584161024691,76.135,76.135
2021-08-18,short,XLC,46.135176878046536,82.99,82.01
2021-08-18,short,XLRE,82.74818087549345,46.27,46.39
2021-08-18,short,XLY,42.21338022135037,88.53,88.53
2021-08-25,long,XLP,53.03908068486043,71.04,71.86
2021-08-25,long,XLE,155.77857722566543,24.255,24.385
2021-08-25,long,XLK,49.08584161024691,76.135,78.74
2021-08-25,short,XLRE,82.74818087549345,46.27,46.42
2021-08-25,short,XLE,153.97135309225035,24.385,24.385
2021-09-01,long,XLP,53.03908068486043,71.04,72.64
2021-09-01,long,XLK,49.08584161024691,76.135,79.45
2021-09-01,long,XLU,107.2091364121349,34.72,34.72
2021-09-01,short,XLE,153.97135309225035,24.385,23.845
2021-09-01,short,XLF,97.4934839242882,38.18,38.18
2021-09-01,short,XLI,35.75354160243323,104.11,104.11
2021-09-08,long,XLP,53.03908068486043,71.04,72.61
2021-09-08,long,XLK,49.08584161024691,76.135,79.395
2021-09-08,long,XLU,107.2091364121349,34.72,34.9
