year,mean,std,count
2023,0.05384615384615384,0.3837175534676005,26
2024,-0.05436363636363637,0.3733421327943219,50
2025,0.05559440559440561,0.33605590705445576,52
2026,-0.16909090909090913,0.29533253113833685,10
