date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2021-03-03,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-03-10,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-03-17,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-03-24,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-03-31,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-04-07,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-04-14,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-04-21,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-04-28,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-05-05,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-05-12,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-05-19,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-05-26,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-06-02,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-06-09,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-06-16,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-06-23,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-06-30,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-07-07,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-07-14,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-07-21,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-07-28,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-08-04,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-08-11,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-08-18,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-08-25,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-09-01,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2021-09-08,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
