date,direction,ticker,volume,price,market_price
2021-03-03,long,XLB,26.74009992799383,37.54,37.54
2021-03-03,long,XLC,14.160129971684546,71.82,71.82
2021-03-03,long,XLE,28.794887816457294,24.925,24.925
2021-03-03,long,XLF,19.4346987779584,33.46,33.46
2021-03-03,long,XLI,9.871264852982517,92.76,92.76
2021-03-03,long,XLK,16.749455237763843,64.71,64.71
2021-03-03,long,XLP,14.315014408039717,63.53,63.53
2021-03-03,long,XLRE,27.95622846844225,36.69,36.69
2021-03-03,long,XLU,25.19517691243899,29.385,29.385
2021-03-03,long,XLV,7.812632462102282,112.31,112.31
2021-03-03,long,XLY,13.300739003292058,79.6,79.6
2021-03-10,long,XLB,17.790833437321833,39.03,39.03
2021-03-10,long,XLC,14.377614401960443,73.51,73.51
2021-03-10,long,XLE,26.824571413823772,26.72,26.72
2021-03-10,long,XLF,20.756069855769024,34.52,34.52
2021-03-10,long,XLI,10.493924873997488,95.42,95.42
2021-03-10,long,XLK,15.452691176889749,64.795,64.795
2021-03-10,long,XLP,13.909132324876776,65.77,65.77
2021-03-10,long,XLRE,31.1639652856116,37.81,37.81
2021-03-10,long,XLU,45.94619249671704,30.87,30.87
2021-03-10,long,XLV,7.768378618100904,113.66,113.66
2021-03-10,long,XLY,8.840846468978906,81.885,81.885
2021-03-17,long,XLB,27.325899006469093,39.415,39.415
2021-03-17,long,XLC,11.063435224981973,76.02,76.02
2021-03-17,long,XLE,35.68160659443353,25.925,25.925
2021-03-17,long,XLF,36.59603729523138,34.44,34.44
2021-03-17,long,XLI,8.550057307369357,97.3,97.3
2021-03-17,long,XLK,9.780828552562129,66.85,66.85
2021-03-17,long,XLP,13.637838029056152,66.42,66.42
2021-03-17,long,XLRE,21.140154614718014,39.41,39.41
2021-03-17,long,XLU,34.87157940044239,31.13,31.13
2021-03-17,long,XLV,10.511419239345233,114.9,114.9
2021-03-17,long,XLY,10.160457230103487,84.805,84.805
2021-03-24,long,XLB,25.55265088600034,38.325,38.325
2021-03-24,long,XLC,12.949869023552845,73.45,73.45
2021-03-24,long,XLE,38.952419059461974,24.515,24.515
2021-03-24,long,XLF,37.44998634316676,33.28,33.28
2021-03-24,long,XLI,8.729448799183444,95.13,95.13
2021-03-24,long,XLK,17.58760980666194,64.73,64.73
2021-03-24,long,XLP,13.870490850265728,66.74,66.74
2021-03-24,long,XLRE,19.895120557802652,38.63,38.63
2021-03-24,long,XLU,17.85595208915289,31.295,31.295
2021-03-24,long,XLV,7.834873822915303,114.37,114.37
2021-03-24,long,XLY,12.237981289117634,81.63,81.63
2021-03-31,long,XLB,33.79938962715039,39.4,39.4
2021-03-31,long,XLC,9.90418707746545,73.32,73.32
2021-03-31,long,XLE,40.50173025015993,24.53,24.53
2021-03-31,long,XLF,37.755542927301285,34.05,34.05
2021-03-31,long,XLI,6.9985111634910275,98.45,98.45
2021-03-31,long,XLK,12.34391053689058,66.405,66.405
2021-03-31,long,XLP,12.46399715689576,68.31,68.31
2021-03-31,long,XLRE,28.10277161685696,39.49,39.49
2021-03-31,long,XLU,24.454004636928566,32.02,32.02
2021-03-31,long,XLV,8.783056425858186,116.74,116.74
2021-03-31,long,XLY,10.079293994014654,84.035,84.035
2021-04-07,long,XLB,30.824845200764805,39.63,39.63
2021-04-07,long,XLC,10.011798471239844,76.93,76.93
2021-04-07,long,XLE,28.599976918793327,24.575,24.575
2021-04-07,long,XLF,22.203336073067366,34.84,34.84
2021-04-07,long,XLI,10.072569224763669,99.3,99.3
