alpha,group,ticker,mean,std,ic_5d,t_stat
1,A,XLB,0.049038346673037865,0.212774841980219,0.009316358376775084,0.25497989811878624
1,A,XLC,0.04181101421574484,0.2351858675453422,0.005865518748289511,0.16052948302089246
1,A,XLE,0.05560864890694063,0.28855593411429015,-0.0037229414267887966,-0.10188966212660092
1,A,XLF,0.041213714012662765,0.21796974230743535,-0.040541243589731046,-1.110440186644107
1,A,XLI,0.060207860470672565,0.2052674027419641,0.010870981960301451,0.29753314131564845
1,A,XLK,0.0493369967745789,0.24328435488991182,0.027360292466859996,0.7490731984655493
1,A,XLP,0.03912316330187552,0.251902478510862,0.027382927152618815,0.7496933582851457
1,A,XLU,0.04169155417512842,0.2638702584698271,-0.04714255189230017,-1.2916270334273778
1,A,XLV,0.039003703261259105,0.2523199921182311,-0.05222909747803569,-1.431352466890758
1,A,XLRE,0.03088042049934297,0.232556791351907,0.0029523310528130537,0.08079934795403766
1,A,XLY,0.05208457770875641,0.23866660472110424,-0.010084127838866528,-0.2759950762274638
2,A,XLB,0.06122140193287736,0.45182622935332467,0.008452072145374497,0.23224810776916302
2,A,XLC,-0.06414673753238419,0.45926228286164383,-0.022245733518048923,-0.6114031798811945
2,A,XLE,0.01263620479259589,0.4694016478532,-0.0026305280927678234,-0.07227996317429611
2,A,XLF,0.020869234819034153,0.4416315793597693,-0.010475032647512752,-0.287841022725391
2,A,XLI,0.07743152981083282,0.4530041102639204,-0.020165741003920497,-0.5542120743689656
2,A,XLK,-0.00564219218401405,0.4664201444111787,0.023379411164832362,0.6425778765621175
2,A,XLP,0.0066015703476884156,0.4252042452543006,-0.03293301408928611,-0.9054002245549211
2,A,XLU,0.03498649898331633,0.44372711111557406,0.03210467651167169,0.8826036221411399
2,A,XLV,0.011197560635687115,0.45182639588918855,0.05705191684349534,1.5701880444812606
2,A,XLRE,0.05148733657900147,0.46180949295275286,-0.039212391157445264,-1.0782785032441944
2,A,XLY,-0.0025240362189600206,0.4395586283161648,0.015750955929636826,0.4325601116009889
3,A,XLB,0.027591806471483515,0.3659551588470393,0.039676197041763804,0.5822256990951314
3,A,XLC,-0.04167797180734354,0.3665564499508596,-0.15859758298848325,-1.6063063556467183
3,A,XLE,-0.06178879858777574,0.33769458931331836,0.03278249081085448,0.47870199971225225
3,A,XLF,-0.16500661485627313,0.32100384759303774,0.08243154937538652,0.8353607994219096
3,A,XLI,0.09487383330763915,0.23134379852252793,,
3,A,XLK,-0.03943670496949966,0.3293301054141882,-0.015097933537462065,-0.19277948479030108
3,A,XLP,0.04069036348681526,0.38359621175546665,0.000342394563989937,0.0057599684450332115
3,A,XLU,-0.00694705390115219,0.3280765758001424,0.12594464710741887,1.1909487179223743
3,A,XLV,,,,
3,A,XLRE,0.05939547630999992,0.3619470034870702,0.041821819800381875,0.40583265598943097
3,A,XLY,-0.06048093385954745,0.35549019599069476,-0.04460439241496265,-0.5838592151823347
4,A,XLB,-0.9400489984147572,0.17396448942150058,-0.03820957704963744,-1.0534413923038062
4,A,XLC,-0.9721861939760772,0.12966870001759362,0.017726542312174486,0.48844218410710377
4,A,XLE,-0.9448047269058942,0.17057664198582198,0.019221397802274085,0.5296464885371642
4,A,XLF,-0.972618532929817,0.12707648011769032,0.005710651945786241,0.15733076742279603
4,A,XLI,-0.9962530624009223,0.052685339661624024,-0.02462124962898896,-0.678520002764309
4,A,XLK,-0.9603859139851358,0.14637065280723432,0.04878636851578123,1.3456646078197052
4,A,XLP,-0.9272229427871451,0.19229291108066607,0.026932429290799136,0.7422564538071867
4,A,XLU,-0.9528750540423693,0.14930286851082986,0.036716243219457226,1.0122133384503864
4,A,XLV,-1.0,0.0,,
4,A,XLRE,-0.9659229407283882,0.14152336720073938,0.06844781306909915,1.8901671568246001
4,A,XLY,-0.9534515059806888,0.153505535603942,0.04873043198322361,1.3441180470165088
5,B,XLB,-0.2817956716081937,0.15805733858543555,-0.031215681598988645,-0.8604099136880725
5,B,XLC,-0.29094446409621505,0.2191761980922687,-0.06062645963268031,-1.6733342697557356
5,B,XLE,-0.29753673987844487,0.2849259192561768,-0.05142479270059754,-1.4186277345488112
5,B,XLF,-0.27842449968378513,0.18158931432163508,-0.005766331506566456,-0.15886481257078416
5,B,XLI,-0.3366830669625152,0.25732071219842956,0.008084377082971196,0.22273150049796328
5,B,XLK,-0.3448832148867522,0.28538601421673304,0.049444343171092434,1.3638575718245873
5,B,XLP,-0.2849417414327213,0.20735085621188248,-0.004429350689556471,-0.12202960759263834
5,B,XLU,-0.2515623157646504,0.21771885673880548,-0.030138835549919904,-0.8307009209982171
5,B,XLV,-0.32437212592854614,0.30300863578308296,0.049900532166047805,1.376472216594704
5,B,XLRE,-0.2700260475287005,0.1776143324949099,0.04813135170207489,1.3275551722776162
5,B,XLY,-0.31548595255705264,0.29192640642832784,0.023251353737596212,0.6407469659822856
6,A,XLB,0.17602387329780994,0.4387792117794935,0.010718323157602261,0.29452710632052015
6,A,XLC,0.15205310950000758,0.4308124915321435,-0.0037804673066503956,-0.10387763799671006
6,A,XLE,0.12950256989332395,0.4303010622115357,-0.04829269104684031,-1.3285010474465953
6,A,XLF,0.15956730469771163,0.4298599597160344,-0.008079968755540165,-0.2220226767713144
6,A,XLI,0.21966178361291483,0.39871799669267854,0.013491024028122458,0.3707301591983432
6,A,XLK,0.193277555726587,0.4483242976008016,-0.01078747987600007,-0.29642767330372466
6,A,XLP,0.12536618789943046,0.445810309897389,0.02046489930065202,0.562437217157373
6,A,XLU,0.11939749359457595,0.441045447881874,-0.029592981752507408,-0.8134904352115389
6,A,XLV,0.189290520840243,0.4256089980782885,0.059532758403108316,1.638703762240709
6,A,XLRE,0.1631473192231937,0.44584549706140386,0.032482951869059744,0.8930138748164542
6,A,XLY,0.1929946923143899,0.43319466635040516,0.018038285547376968,0.4957233777066203
7,A,XLB,-1.0,0.0,,
7,A,XLC,-1.0,0.0,,
7,A,XLE,-1.0,0.0,,
7,A,XLF,-1.0,0.0,,
7,A,XLI,-1.0,0.0,,
7,A,XLK,-1.0,0.0,,
7,A,XLP,-1.0,0.0,,
7,A,XLU,-1.0,0.0,,
7,A,XLV,-1.0,0.0,,
7,A,XLRE,-1.0,0.0,,
7,A,XLY,-1.0,0.0,,
8,A,XLB,-0.5514354066985646,0.20534963955210525,0.002059597503422425,0.05632926400144642
8,A,XLC,-0.5410287081339712,0.28499189854523904,-0.01183590351823269,-0.32372976889202537
8,A,XLE,-0.5557416267942584,0.3174026429908119,-0.09099752066771015,-2.4991132831484784
8,A,XLF,-0.5471291866028707,0.218976427261471,0.027743936698919232,0.7590774536632037
8,A,XLI,-0.54377990430622,0.30636105968826133,-0.015084086908933437,-0.4125905132698894
8,A,XLK,-0.5411483253588516,0.3227103559768469,0.036923232122665746,1.010524282120275
8,A,XLP,-0.5375598086124401,0.27139187619360294,0.04162314002137107,1.1393631514981273
8,A,XLU,-0.5535885167464115,0.27686633958666823,-0.00749674470459722,-0.20503864576531142
8,A,XLV,-0.5376794258373205,0.3525288968389032,-0.004104601176743873,-0.11226009947598044
8,A,XLRE,-0.5458133971291866,0.22773311036963154,0.09113203024114654,2.502838304715423
8,A,XLY,-0.5450956937799043,0.33672403280748037,0.023411805732022842,0.6404788079398215
9,A,XLB,-0.005753246753246698,0.49753353046415716,-0.021520916731508393,-0.5926468289168563
9,A,XLC,0.009376623376623393,0.9100735910877461,-0.004877066964837688,-0.1342760282065828
9,A,XLE,-0.007110389610389552,0.6630891233141936,0.03362366193351533,0.9262436595069402
9,A,XLF,-0.013714285714285745,0.4310243901372431,0.007972449505110365,0.21950285956365106
9,A,XLI,-0.020402597402597356,1.0736826840855171,-0.016323417957302275,-0.4494729611023487
9,A,XLK,-0.04166883116883116,1.1288272166204305,0.020548466049104305,0.5658557292970628
9,A,XLP,-0.0038441558441557992,0.62106521742052,-0.02495788531273037,-0.6873496087793466
9,A,XLU,-0.010974025974026,0.3820539751090729,0.07265411952747863,2.0055990759187936
9,A,XLV,-0.026324675324675282,1.1718786107460186,0.050125926984782014,1.381794031895635
9,A,XLRE,0.01814285714285715,0.5292933241580967,0.02738265384720211,0.7541765410764477
9,A,XLY,-0.008090909090909041,1.2674183253727722,0.013144309149766185,0.3619177541000564
10,A,XLB,0.5501180637544274,0.20595033694536505,-0.004368605859753733,-0.12027672964691373
10,A,XLC,0.5378984651711924,0.28661268542898166,-0.03885120611965719,-1.0704518124632214
10,A,XLE,0.5506493506493506,0.31203829871072625,0.0054928863963708,0.15123133004428027
10,A,XLF,0.5382526564344746,0.2139597081300789,-0.053941542015868,-1.487273063463084
10,A,XLI,0.538961038961039,0.3129597209132738,-0.02628699634270128,-0.7239785005760315
10,A,XLK,0.5455726092089728,0.3221802823758442,0.023023671540124795,0.634051189608429
10,A,XLP,0.547874852420307,0.26679532675548623,0.02892351100963781,0.7966496106104627
10,A,XLU,0.543624557260921,0.2756656538239401,0.02389599781712069,0.6580877448612288
10,A,XLV,0.5438016528925619,0.33857113679270434,0.05123597291139108,1.4124737268509673
10,A,XLRE,0.5646989374262101,0.2437406461302794,-0.011018864613759276,-0.3033875930423317
10,A,XLY,0.538547815820543,0.3442538837661714,0.011762427203861971,0.32386319566168975
11,B,XLB,0.6085087379476584,0.3477609400437021,-0.028807812394805846,-0.7924127614132677
11,B,XLC,0.6041989497245178,0.3562149917881866,0.034562530417360536,0.9508805867964516
11,B,XLE,0.592733083677686,0.5451385769046192,-0.035296376409518264,-0.9710950001228048
11,B,XLF,0.6098108212809917,0.4707454318286549,0.055570417814088786,1.5302985386991717
11,B,XLI,0.5636675705922864,0.32065003173912465,0.04666770440357595,1.2845492837151442
11,B,XLK,0.5615153667355371,0.37661091857002604,-0.003628922444746603,-0.09977952776936369
11,B,XLP,0.6045271608126721,0.37436350833812376,0.03931532976965268,1.0818292603066675
11,B,XLU,0.6157670454545454,0.447108153344293,0.08331157237140983,2.2986807730967964
11,B,XLV,0.5772049328512397,0.3720460252123271,0.03640793668000762,1.0017168813758797
11,B,XLRE,0.630224474862259,0.36851436948615834,0.0265863192454185,0.7312614076558063
11,B,XLY,0.5726099776170799,0.34640931002277786,0.006445037906843074,0.17721292500869207
12,A,XLB,0.07197402597402619,0.49232688333331026,-0.02345934531422445,-0.6460557984583076
12,A,XLC,0.08955844155844168,0.9056990847300176,-0.04801844010218163,-1.323560873888509
12,A,XLE,0.09370779220779223,0.656464195216389,-0.009573845969241645,-0.2635972912480528
12,A,XLF,0.07015584415584425,0.42549043270185105,0.02847181808891499,0.7841983128860068
12,A,XLI,0.2001428571428571,1.0550365207846992,-0.02675147698640612,-0.7367799909938894
12,A,XLK,0.16230519480519473,1.1178605467246643,0.006318231423898904,0.17395575482240996
12,A,XLP,0.06799999999999974,0.6173384712104135,0.019820108470853696,0.5457904721460876
12,A,XLU,0.03215584415584409,0.38085493673203363,0.02511001716764955,0.6915420130077
12,A,XLV,0.13648051948051979,1.1641916567018467,0.08689266067396928,2.4013941791473923
12,A,XLRE,0.08907792207792219,0.5220496333376533,-0.003681425526621629,-0.10135695740468262
12,A,XLY,0.15063636363636368,1.258449020746454,-0.005983184213107838,-0.16473077848025314
13,A,XLB,-0.5828217237308146,0.2715851913223394,0.004502419076964553,0.12396095708488357
13,A,XLC,-0.49049586776859505,0.20138890781596824,0.02195864008738091,0.6047066895561076
13,A,XLE,-0.3454545454545454,0.27335114048759174,-0.0287852273667941,-0.7928376534143015
13,A,XLF,-0.38961038961038963,0.23005491441734435,-0.03543639811936917,-0.9762409626455351
13,A,XLI,-0.6235537190082644,0.25113443700577553,-0.020672985113471043,-0.5692861488961856
13,A,XLK,-0.6289256198347107,0.2791312878566634,-0.013944220857767234,-0.3839468263390905
13,A,XLP,-0.5719598583234946,0.3072015705889661,-0.021029861564610598,-0.5791180114337853
13,A,XLU,-0.5444510035419126,0.20369234472441017,0.03919853523870753,1.080036294934681
13,A,XLV,-0.585832349468713,0.10403516562367182,-0.03738395397256316,-1.0299675086925475
13,A,XLRE,-0.6460448642266824,0.18392699301590876,0.0064142483218718824,0.1765994335543632
13,A,XLY,-0.5908500590318772,0.262020388187621,-0.054005739113089556,-1.4890482766436974
14,A,XLB,0.09808518138459081,0.26352760354634214,0.008585198009965636,0.23590644041931735
14,A,XLC,0.07651240007109707,0.2654684039343499,0.0013550296023719878,0.03723253938312971
14,A,XLE,0.07374592051722159,0.28473097649822476,-0.0472783832613849,-1.3005349071581747
14,A,XLF,0.08911830061729024,0.25982152345618625,-0.016205166016485563,-0.4453320915018217
14,A,XLI,0.11697260058546445,0.2361319429456755,0.005324140837524554,0.1462948932753201
14,A,XLK,0.10610155327785187,0.2820731266324566,-0.009814859788453333,-0.2696984774738774
14,A,XLP,0.06297540163830513,0.2746860789493042,0.027451374368522283,0.7545730106174364
14,A,XLU,0.06512535787733331,0.2881585420008032,-0.036283722038469725,-0.9976342982614268
14,A,XLV,0.105817905994674,0.2615451660589619,0.030419080305278776,0.8362200550425375
14,A,XLRE,0.08676677256678988,0.27831413285811335,0.0275615343341124,0.7576033435018356
14,A,XLY,0.1083856249335932,0.27923851454422827,-0.00820334244385519,-0.22541298519156872
15,A,XLB,-1.3596153846153847,0.6670730847249104,-0.01885062817152709,-0.21079388577946243
15,A,XLC,-1.358695652173913,0.6575463099725023,-0.0003831670514533198,-0.00254164286997184
15,A,XLE,-1.3088235294117647,0.6878845160172484,0.0379560231555435,0.34185054230132433
15,A,XLF,-1.2804878048780488,0.5979583602074692,0.18473760639164954,1.173891137442076
15,A,XLI,-1.9090909090909092,0.5393598899705938,,
15,A,XLK,-1.1550632911392404,0.5902722489256188,-0.3246478491923235,-3.011913739362209
15,A,XLP,-1.3630952380952381,0.7448138341639601,-0.02163340286109963,-0.27879214382785533
15,A,XLU,-0.89,0.32606662577523077,,
15,A,XLV,,,,
15,A,XLRE,-1.2317073170731707,0.5344104342124336,-0.25916826024134754,-1.675762403372933
15,A,XLY,-1.3592233009708738,0.5758186752924713,0.039137678480154744,0.3936303895841769
16,A,XLB,-0.6037780401416765,0.268168746435364,-0.032897541369249925,-0.9062190324745133
16,A,XLC,-0.5223730814639905,0.2073386621113293,0.03741193541803484,1.0307395072639876
