date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2023-07-03,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2023-07-05,10000.0,-10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0
2023-07-06,10000.0,-9924.41884194548,9874.18983382548,9949.77099188,0.0,0.0,0.0,0.0
2023-07-07,10000.0,-9818.583702600854,9957.495616179323,10138.91191357847,0.0,0.0,0.0,0.0
2023-07-10,10000.0,-9829.534843752897,10009.477293226046,10179.942449473148,0.0,0.0,0.0,0.0
2023-07-11,10000.0,-9875.700582457677,10130.823641603383,10255.123059145706,0.0,0.0,0.0,0.0
2023-07-12,10000.0,-9922.417746720566,10234.955340890883,10312.537594170317,0.0,0.0,0.0,0.0
2023-07-13,10000.0,-9949.03014066354,10281.007912388988,10331.977771725447,0.0,0.0,0.0,0.0
2023-07-14,10000.0,-9996.60379366661,10136.896684622581,10140.29289095597,0.0,0.0,0.0,0.0
2023-07-17,10000.0,-9933.082887653447,10192.25680635354,10259.173918700093,0.0,0.0,0.0,0.0
2023-07-18,10000.0,-9928.58932895704,10301.508285486669,10372.91895652963,0.0,0.0,0.0,0.0
2023-07-19,10000.0,-10011.040096811801,10318.121343330564,10307.081246518763,0.0,0.0,0.0,0.0
2023-07-20,10000.0,-10155.854419571027,10273.95823786186,10118.103818290832,0.0,0.0,0.0,0.0
2023-07-21,10000.0,-10252.41439976825,10317.078155078889,10064.66375531064,0.0,0.0,0.0,0.0
2023-07-24,10000.0,-10248.770207722824,10410.111830956164,10161.34162323334,0.0,0.0,0.0,0.0
2023-07-25,10000.0,-10252.355489068184,10496.49839845909,10244.142909390906,0.0,0.0,0.0,0.0
2023-07-26,6559.752729852296,-6813.848433743966,10428.754815722692,10174.659111831023,0.0,0.0,0.0,0.0
2023-07-27,6559.752729852296,-6723.431111151127,10379.976965990514,10216.298584691684,0.0,0.0,0.0,0.0
2023-07-28,6559.752729852296,-6750.775816426101,10465.351706119942,10274.328619546137,0.0,0.0,0.0,0.0
2023-07-31,6559.752729852296,-6736.640744753756,10577.97048338518,10401.08246848372,0.0,0.0,0.0,0.0
2023-08-01,6559.752729852296,-6677.333924799066,10561.333376227845,10443.752181281076,0.0,0.0,0.0,0.0
2023-08-02,9970.775076295116,-10100.417380863972,10362.709343897313,10233.067039328458,0.0,0.0,0.0,0.0
2023-08-03,9970.775076295116,-9998.43775399855,10395.883525970843,10368.220848267409,0.0,0.0,0.0,0.0
2023-08-04,9970.775076295116,-9915.436924574813,10334.86163673735,10390.199788457654,0.0,0.0,0.0,0.0
2023-08-07,9970.775076295116,-9981.267104166553,10354.960841481392,10344.468813609956,0.0,0.0,0.0,0.0
2023-08-08,9970.775076295116,-9998.451253627969,10343.25495464959,10315.578777316738,0.0,0.0,0.0,0.0
2023-08-09,6524.503285205816,-6563.07012518697,10347.434015672927,10308.867175691772,0.0,0.0,0.0,0.0
2023-08-10,6524.503285205816,-6546.371508330336,10347.39602420908,10325.52780108456,0.0,0.0,0.0,0.0
2023-08-11,6524.503285205816,-6569.228502195567,10395.4813182281,10350.756101238348,0.0,0.0,0.0,0.0
2023-08-14,6524.503285205816,-6527.205413915877,10449.135659073263,10446.433530363201,0.0,0.0,0.0,0.0
2023-08-15,6524.503285205816,-6439.479190733817,10285.764873754866,10370.788968226865,0.0,0.0,0.0,0.0
2023-08-16,6524.503285205816,-6445.882359309429,10192.400779665124,10271.02170556151,0.0,0.0,0.0,0.0
2023-08-17,6524.503285205816,-6407.167507801039,10210.85136992416,10328.187147328936,0.0,0.0,0.0,0.0
2023-08-18,6524.503285205816,-6435.725318082992,10271.86454979377,10360.642516916594,0.0,0.0,0.0,0.0
2023-08-21,6524.503285205816,-6393.840636857887,10328.604908574547,10459.267556922476,0.0,0.0,0.0,0.0
