date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3331.9999999999995,-0.0,6666.666666666668,9998.666666666668,1.3333333333333335,0.0,0.00013333333333333334,0.0
2025-01-08,6664.123511341992,-6676.6355093540515,10025.46310980855,10012.95111179649,3.3354855679194593,0.0,0.0003335485567919459,0.0
2025-01-15,9979.647100379276,-9984.040279256722,9984.040279256722,9979.647100379276,7.344529251681559,0.38413519368886323,0.0007344529251681559,3.8413519368886324e-05
2025-01-22,3200.034957908315,-0.0,6774.60217861083,9974.637136519144,8.034534252871968,0.9585594289337706,0.0008034534252871967,9.585594289337706e-05
2025-01-29,3200.034957908315,-0.0,6839.364793259003,10039.399751167319,8.034534252871968,0.9585594289337706,0.0008034534252871967,9.585594289337706e-05
2025-02-05,6651.7404279200255,-6754.450778839299,10232.344879600536,10129.634528681261,10.076173830557707,0.9585594289337706,0.0010076173830557706,9.585594289337706e-05
2025-02-12,9946.437639314518,-10064.339665046466,10179.173177218972,10061.271151487024,12.756075153402863,1.3471716655245247,0.0012756075153402863,0.00013471716655245248
2025-02-19,6483.667437708498,-6727.279488660195,10332.605887083771,10088.993836132075,14.102427811711026,1.9262158654313075,0.0014102427811711025,0.00019262158654313074
2025-02-26,10089.660403431284,-10088.199615520196,10083.637248717536,10085.098036628624,16.816957746401197,2.3132648223131267,0.0016816957746401198,0.00023132648223131268
2025-03-05,10037.176960581652,-9921.264336972472,9924.744309773756,10040.656933382936,19.48259641139945,2.7002094651002024,0.0019482596411399449,0.00027002094651002026
2025-03-12,9971.400091930736,-9761.02882277415,10136.438096731268,10346.809365887855,22.19083464972583,2.8928285517216685,0.0022190834649725827,0.00028928285517216683
2025-03-19,10134.389222956088,-9960.434577852699,10070.589904328688,10244.544549432077,24.954730620938147,3.4765543182864898,0.0024954730620938147,0.000347655431828649
2025-03-26,10116.95194913628,-10122.138441438186,10122.138441438186,10116.95194913628,28.974263800569197,4.643513440563048,0.00289742638005692,0.00046435134405630477
2025-04-02,9943.078213690686,-9947.438507716135,9875.473855606499,9871.113561581049,32.94631142004289,5.031759846536019,0.003294631142004289,0.000503175984653602
2025-04-09,9943.078213690686,-9492.762002020456,9417.544272356183,9867.860484026412,32.94631142004289,5.031759846536019,0.003294631142004289,0.000503175984653602
2025-04-16,10396.102297271631,-10226.837418792209,10053.60787766371,10222.872756143131,35.57103386302451,6.371700052637893,0.0035571033863024512,0.0006371700052637892
2025-04-23,3234.278088625549,-0.0,6916.381336480774,10150.659425106323,36.23117487849391,6.960093438376623,0.003623117487849391,0.0006960093438376623
2025-04-30,3463.0567984728764,-0.0,6931.751637347651,10394.808435820527,39.050195079442624,6.960093438376623,0.003905019507944262,0.0006960093438376623
2025-05-07,33.92739606981468,-0.0,10425.218455604578,10459.145851674391,41.15445674818727,6.960093438376623,0.0041154456748187275,0.0006960093438376623
2025-05-14,3635.5228562678453,-3526.1239754376984,10467.547216430012,10576.94609726016,42.580285801125,6.960093438376623,0.0042580285801125,0.0006960093438376623
2025-05-21,3512.523370540781,-3528.7205321206425,10782.512772515653,10766.315610935791,45.42803234861797,6.960093438376623,0.0045428032348617964,0.0006960093438376623
2025-05-28,7113.2930042939515,-7176.228186166802,10865.244083132364,10802.308901259514,45.42803234861797,6.960093438376623,0.0045428032348617964,0.0006960093438376623
2025-06-04,10847.956764652554,-10872.41172905726,10907.034971759957,10882.580007355251,48.349818683126934,7.167261006345983,0.004834981868312694,0.0007167261006345983
2025-06-11,7398.8662727725305,-7413.55208079124,11130.81021285358,11116.12440483487,51.32450944773257,8.396286593727833,0.005132450944773256,0.0008396286593727833
2025-06-18,7399.658237889296,-7349.749598415258,11003.865128677025,11053.773768151063,54.27371714252044,8.396286593727833,0.005427371714252044,0.0008396286593727833
2025-06-25,11324.129198163198,-11238.417304941171,11150.348536285659,11236.060429507686,55.77752630917699,9.249352860558606,0.005577752630917699,0.0009249352860558605
2025-07-02,7548.608786058283,-7553.589626236986,11272.433322066714,11267.45248188801,60.32730390632073,9.680415442117994,0.006032730390632073,0.0009680415442117994
2025-07-09,3772.5491731922734,-3761.585224549798,11259.905466192213,11270.869414834688,63.34042839048238,9.896599094869957,0.006334042839048238,0.0009896599094869956
2025-07-16,3712.298640357993,-3702.571348628946,11095.852410321268,11105.579702050314,64.82817835466562,10.543192967209038,0.006482817835466562,0.0010543192967209037
2025-07-23,3692.1768043325237,-0.0,7562.315243347304,11254.492047679829,67.07806910894874,10.756217620143854,0.006707806910894874,0.0010756217620143853
2025-07-30,11281.473507608469,-11236.373246384126,11189.005580788495,11234.105842012837,69.34547348023713,10.756217620143854,0.006934547348023713,0.0010756217620143853
2025-08-06,7594.065398350663,-7465.031517748346,11193.179378713357,11322.213259315675,72.35571281946065,11.187201799457217,0.007235571281946065,0.0011187201799457216
2025-08-13,11316.668171633668,-11321.392115339047,11229.2168282926,11224.49288458722,76.86245219228859,11.404406132004722,0.0076862452192288586,0.0011404406132004721
2025-08-20,3707.1510059551983,-3720.6388257249637,11171.363670084418,11157.875850314653,79.82589309699054,12.481592087539415,0.007982589309699055,0.0012481592087539414
