date,direction,ticker,volume,price,market_price
2025-01-01,short,XLB,21.609006633965038,42.07,42.07
2025-01-01,short,XLC,9.390464921918284,96.81,96.81
2025-01-01,short,XLE,21.225564069365145,42.83,42.83
2025-01-01,short,XLF,18.810074675996464,48.33,48.33
2025-01-01,short,XLI,6.89959706353149,131.76,131.76
2025-01-01,short,XLK,7.81946421031231,116.26,116.26
2025-01-01,short,XLP,11.564570780955465,78.61,78.61
2025-01-01,short,XLRE,22.35286228401547,40.67,40.67
2025-01-01,short,XLU,24.021427112984785,37.845,37.845
2025-01-01,short,XLV,6.608206070298097,137.57,137.57
2025-01-01,short,XLY,8.104220272707012,112.175,112.175
2025-01-08,short,XLB,26.403820570475276,42.075499326348364,42.08
2025-01-08,short,XLC,5.996938189738209,96.98537866304017,97.26
2025-01-08,short,XLE,26.98328144410601,43.49326393363497,44.015
2025-01-08,short,XLF,19.181493189267787,48.41078210726041,48.49
2025-01-08,short,XLI,9.773181122497217,132.38134647712928,132.82
2025-01-08,short,XLK,5.573855309472085,116.54299344347324,116.94
2025-01-08,short,XLP,12.566312270276208,77.96946960334503,77.38
2025-01-08,short,XLRE,22.656773234959697,40.40824444596508,40.15
2025-01-08,short,XLU,19.596746482593627,37.91688470260783,38.005
2025-01-08,short,XLV,7.2390012922313165,139.0651421722625,140.43
2025-01-08,short,XLY,5.003426435622712,111.91924885057843,111.505
2025-01-15,short,XLB,24.707774352978106,42.77378308663331,43.52
2025-01-15,short,XLC,11.073968484465574,97.05973400323182,97.1
2025-01-15,short,XLE,26.54533289149443,44.8777115631258,46.285
2025-01-15,short,XLF,14.894503056325217,48.87813364282548,49.48
2025-01-15,short,XLI,6.224377770016227,133.51305403639375,135.29
2025-01-15,short,XLK,7.924376025637356,116.30934433615523,116.145
2025-01-15,short,XLP,11.5488222467529,77.13643152767203,76.23
2025-01-15,short,XLRE,16.0484011568504,40.317753330135275,40.19
2025-01-15,short,XLU,20.06702602431456,38.158776774616875,38.395
2025-01-15,short,XLV,6.694589274151284,139.7881722501665,140.57
2025-01-15,short,XLY,6.203296030298061,112.87174221398578,113.64
2025-01-22,short,XLB,22.3841689828529,43.53251136563601,44.37
2025-01-22,short,XLC,7.496128776110741,97.94387132008728,99.25
2025-01-22,short,XLE,13.876903781588009,45.22522892965172,45.89
2025-01-22,short,XLF,18.431502587497196,49.72535785048254,50.41
2025-01-22,short,XLI,7.081537096393461,137.09852209602434,140.25
2025-01-22,short,XLK,9.195938704639522,118.66503821794167,120.695
2025-01-22,short,XLP,10.072557002365107,77.17536281838319,77.22
2025-01-22,short,XLRE,17.315050211239384,40.723725728399714,41.1
2025-01-22,short,XLU,18.581205331052995,38.64014251065797,39.16
2025-01-22,short,XLV,9.534671468772984,141.193368220938,142.18
2025-01-22,short,XLY,5.788394576465432,113.90629373398038,115.015
2025-01-29,short,XLB,28.33523465430885,43.96128159930817,44.3
2025-01-29,short,XLC,6.762504147398204,99.80593352644044,101.87
2025-01-29,short,XLE,22.410843741809177,44.99349239366504,44.85
2025-01-29,short,XLF,25.59083756745518,50.629094330274036,51.28
