date,direction,ticker,volume,price,market_price
2021-03-03,long,XLB,24.216593209667266,37.54,37.54
2021-03-03,long,XLC,12.657907394749502,71.82,71.82
2021-03-03,long,XLE,36.47305553022704,24.925,24.925
2021-03-03,long,XLF,27.169483236428842,33.46,33.46
2021-03-03,long,XLI,9.800462581833862,92.76,92.76
2021-03-03,long,XLK,14.048692769137833,64.71,64.71
2021-03-03,long,XLP,14.309631813173448,63.53,63.53
2021-03-03,long,XLRE,24.77762085284571,36.69,36.69
2021-03-03,long,XLU,30.937243800949773,29.385,29.385
2021-03-03,long,XLV,8.094478756040505,112.31,112.31
2021-03-03,long,XLY,11.420740062699862,79.6,79.6
2021-03-10,long,XLB,13.782882625065426,39.03,39.03
2021-03-10,long,XLC,25.162041331964485,73.51,73.51
2021-03-10,long,XLE,62.32394271955524,26.72,26.72
2021-03-10,long,XLF,27.418532345350304,34.52,34.52
2021-03-10,long,XLI,3.0785841934802156,95.42,95.42
2021-03-10,long,XLK,23.843927531108424,64.795,64.795
2021-03-10,long,XLP,11.096105674614165,65.77,65.77
2021-03-10,long,XLRE,21.33149024182931,37.81,37.81
2021-03-10,long,XLU,24.60557825175112,30.87,30.87
2021-03-10,long,XLV,9.870460195861089,113.66,113.66
2021-03-10,long,XLY,0.804481095339145,81.885,81.885
2021-03-17,long,XLB,26.409313426487316,39.415,39.415
2021-03-17,long,XLC,3.8840045433800428,76.02,76.02
2021-03-17,long,XLE,101.76390054068042,25.925,25.925
2021-03-17,long,XLF,45.08927909625897,34.44,34.44
2021-03-17,long,XLI,6.753522324049532,97.3,97.3
2021-03-17,long,XLK,5.3143562246222045,66.85,66.85
2021-03-17,long,XLP,12.831010905024167,66.42,66.42
2021-03-17,long,XLRE,19.372288025228876,39.41,39.41
2021-03-17,long,XLU,38.65558240117529,31.13,31.13
2021-03-17,long,XLV,7.197984087011925,114.9,114.9
2021-03-17,long,XLY,3.181996022972816,84.805,84.805
2021-03-24,long,XLB,19.123126917250612,38.325,38.325
2021-03-24,long,XLC,36.06763616405666,73.45,73.45
2021-03-24,long,XLE,19.544925462523775,24.515,24.515
2021-03-24,long,XLF,28.704222711682686,33.28,33.28
2021-03-24,long,XLI,14.980606783172268,95.13,95.13
2021-03-24,long,XLK,6.1828299548322025,64.73,64.73
2021-03-24,long,XLP,3.9008574478120623,66.74,66.74
2021-03-24,long,XLRE,9.756870309870068,38.63,38.63
2021-03-24,long,XLU,9.81137591712786,31.295,31.295
2021-03-24,long,XLV,6.570316822349769,114.37,114.37
2021-03-24,long,XLY,22.529014666253346,81.63,81.63
2021-03-31,long,XLB,33.212459577114274,39.4,39.4
2021-03-31,long,XLC,4.083104015674746,73.32,73.32
2021-03-31,long,XLE,67.81572173212898,24.53,24.53
2021-03-31,long,XLF,33.91511813622218,34.05,34.05
2021-03-31,long,XLI,7.479321693635256,98.45,98.45
2021-03-31,long,XLK,11.774292526688594,66.405,66.405
2021-03-31,long,XLP,16.0809403504533,68.31,68.31
2021-03-31,long,XLRE,32.3186167768789,39.49,39.49
2021-03-31,long,XLU,19.69431868884505,32.02,32.02
2021-03-31,long,XLV,9.504274744601329,116.74,116.74
2021-03-31,long,XLY,3.6526668010413323,84.035,84.035
2021-04-07,long,XLB,41.11394790025326,39.63,39.63
2021-04-07,long,XLC,1.8004523135342905,76.93,76.93
2021-04-07,long,XLE,105.55204724394514,24.575,24.575
2021-04-07,long,XLF,28.794018774110675,34.84,34.84
2021-04-07,long,XLI,8.695348826447141,99.3,99.3
2021-04-07,long,XLK,4.824892598906251,69.21,69.21
2021-04-07,long,XLP,7.824518560038451,68.97,68.97
2021-04-07,long,XLRE,25.03126919534895,40.48,40.48
2021-04-07,long,XLU,27.677429179919294,32.47,32.47
2021-04-07,long,XLV,11.28109599120985,116.49,116.49
2021-04-07,long,XLY,2.176903418435931,86.75,86.75
2021-04-14,long,XLB,17.02464871610143,40.36,40.36
2021-04-14,long,XLC,34.39190646754008,75.92,75.92
2021-04-14,long,XLE,23.687754897885018,24.595,24.595
2021-04-14,long,XLF,26.496792146335366,35.18,35.18
2021-04-14,long,XLI,9.460684154469854,100.52,100.52
2021-04-14,long,XLK,20.95814190066052,70.455,70.455
2021-04-14,long,XLP,14.811826595907375,68.86,68.86
2021-04-14,long,XLRE,18.81157810032195,40.57,40.57
2021-04-14,long,XLU,16.64156292575598,32.97,32.97
2021-04-14,long,XLV,4.446719358030567,118.55,118.55
2021-04-14,long,XLY,5.831397590959036,88.61,88.61
2021-04-21,long,XLB,16.539328719910657,41.485,41.485
2021-04-21,long,XLC,21.40513002977404,76.13,76.13
2021-04-21,long,XLE,48.42024110645066,23.835,23.835
2021-04-21,long,XLF,30.18370625695867,35.12,35.12
