feature,rf_importance
beta_60d,0.06467303103849134
usd_ret_20d,0.046876111717797674
idio_vol_60d,0.043047467622471504
dvol_z_60d,0.036859690440540736
rs_spy_60d,0.034925210588354974
t10y2y_level,0.033382097415451145
hyoas_level,0.03317753984231198
skew_60d,0.02904090726034404
be10y_level,0.02888306258784117
spy_vol_60d,0.02825913086100912
be10y_z_60d,0.02734393857002519
vol_20d,0.02680039393727124
usd_vol_60d,0.025658971554547126
dd_252d,0.024047119639523405
vol_60d,0.023227827573688003
inter_dust10y_x_beta60d,0.02302667042918015
d_ust10y_20d,0.022313074379686496
crude_ret_60d,0.022123752114140176
mom_240_20,0.021625083018667578
t10y2y_z_60d,0.021509232262067846
ust10y_level,0.019614210070620558
inter_crude60_x_disp20,0.018383108834849123
disp_60d,0.018354110281640117
inter_disp20_x_mom60d,0.018073736030856633
ret_120d,0.01689435808047424
rs_spy_20d,0.016451512331106637
spy_ret_20d,0.015224837448460156
ust10y_z_60d,0.01465670687930917
ma_dist_60d,0.014342304505164848
inter_vixz_x_mom60d,0.01397478224011235
log_dvol_60d,0.013434581544886777
vol_ratio_20_60,0.013209939512147552
ret_20d,0.012732582675039118
inter_t10y2yz_x_beta60d,0.012712740639144843
inter_be10yz_x_beta60d,0.012632087791697505
hyoas_z_60d,0.012147019593898271
t10y2y_d_20d,0.012049397006827086
inter_usd20_x_mom60d,0.011904952794532755
spy_dd_252d,0.011451819968794663
crude_ret_20d,0.011261767545854824
vix_level,0.009699211431800144
be10y_d_20d,0.009436919520672231
vix_z_60d,0.009415813148878464
ma_dist_20d,0.009380164467325196
ret_60d,0.008986380403484505
hyoas_d_20d,0.008348544044064118
d_vix_20d,0.007762668318007103
disp_20d,0.006497815340313536
ret_5d,0.004921275203946379
inter_hyoasz_x_mom60d,0.004781934132311826
disp_5d,0.004694660914124791
ret_1d,0.0033336016103878343
is_XLK,0.0021061637591288525
is_XLE,0.0015605856431678087
is_XLP,0.0009039448552749627
is_XLU,0.0005606754209024539
is_XLB,0.000329647335573818
is_XLC,0.00030910994338181354
is_XLRE,0.00028742864217215665
is_XLY,0.00023811954274298623
is_XLV,0.00013846769351064344
is_XLI,0.0
is_XLF,0.0
