model,n_daily_oos_rows,n_daily_oos_periods,n_weekly_oos_rows,n_weekly_oos_periods,oos_period,daily__n_periods_with_valid_ic,daily__spearman_ic_mean,daily__spearman_ic_std,daily__spearman_ic_ir,daily__ic_ci95_low,daily__ic_ci95_high,daily__ndcg_at_3_mean,daily__top3_precision_mean,daily__hit_rate,daily__r2_global,daily__sanity_corr_pred_y,daily__sanity_corr_pred_absy,daily__sanity_ratio,weekly_on_frs4__n_periods_with_valid_ic,weekly_on_frs4__spearman_ic_mean,weekly_on_frs4__spearman_ic_std,weekly_on_frs4__spearman_ic_ir,weekly_on_frs4__ic_ci95_low,weekly_on_frs4__ic_ci95_high,weekly_on_frs4__ndcg_at_3_mean,weekly_on_frs4__top3_precision_mean,weekly_on_frs4__hit_rate,weekly_on_frs4__r2_global,weekly_on_frs4__sanity_corr_pred_y,weekly_on_frs4__sanity_corr_pred_absy,weekly_on_frs4__sanity_ratio
lightgbm,7392,672,1518,138,2023-07-03 to 2026-03-12,672,-0.0013933982683982699,0.37237058562352265,-0.0037419665306406245,-0.049599228896103895,0.05047686688311688,-0.1833259857796022,0.28125,0.5018009168303864,-0.11378587698716314,-0.03637700824691526,-0.09353623715772226,0.3889081852370839,138,-0.0008563899868247725,0.35969477533087,-0.0023808796945605083,-0.0626646903820817,0.06042490118577075,-0.009348785803439586,0.27053140096618356,0.5099920063948841,-0.0985456936995619,-0.020628278836391616,-0.08138497326383105,0.25346544956793876
rf,7392,672,1518,138,2023-07-03 to 2026-03-12,672,0.035051406926406924,0.4062139726085263,0.08628803854609504,-0.022526041666666673,0.09067302489177491,-0.014669162568948093,0.33382936507936506,0.5234899328859061,-0.022707476762601875,-0.05049293049877498,-0.042173710748540066,1.197260795945562,138,0.04505928853754941,0.412350604621784,0.10927421478835632,-0.026813241106719378,0.10726284584980238,0.30258554522652115,0.35265700483091783,0.5270700636942676,-0.01821454775558573,-0.03184235530766029,-0.04075035724145677,0.7814006419375863
elasticnet,7392,672,1518,138,2023-07-03 to 2026-03-12,672,0.02481060606060606,0.40945861153858787,0.060593684835146926,-0.03207454004329005,0.0821489448051948,0.10033653438773944,0.3100198412698412,0.5117839607201309,-0.008100729304046927,-0.02736754765990302,-0.03410048394744807,0.802555990175356,138,0.023583662714097498,0.40832655524070016,0.0577568674175389,-0.0451366930171278,0.07793313570487484,0.9548767200503558,0.3115942028985507,0.5206349206349207,-0.0077368101465291605,-0.02508567223721345,-0.014636864528403612,1.7138692640444524
