window,config,sharpe,ann_return,ann_vol,max_dd,turnover_ann,alpha_vs_spy,beta_vs_spy,excess_vs_spy,win_rate
IS,rf_fixed 3L-2S stick2,0.47705161025458925,0.06086648177373388,0.1463078818258707,-0.14840453629331862,20.002934312963948,-0.03656382673938736,0.4046789991555219,-0.1930297740353189,0.5383064516129032
IS,rf_tuned 3L-2S stick2,0.3353293185118821,0.042321599158722245,0.16345338706453422,-0.1550588256665808,14.490591220418084,-0.0812872808330811,0.5178250938179039,-0.20801547176047894,0.53125
IS,elasticnet 3L-2S stick2,0.18839206492074226,0.017687429848439518,0.17992771646824457,-0.1978814808301309,5.760252105834619,-0.11054838794445136,0.5495850505798114,-0.22892923061136364,0.5365296803652968
IS,lightgbm 3L-2S stick2,0.11444495041147186,0.00640706055267759,0.13229261339019383,-0.12682535323517674,32.44045490781836,-0.048620410612368825,0.24259619442303854,-0.24768596307404295,0.530241935483871
IS,SPY buy-and-hold,1.1766181152774617,0.19855834221329882,0.16552049275205066,-0.18755393473638826,0.0,0.0,1.0,0.0,
OOS,rf_fixed 3L-2S stick2,2.378185691427998,0.4181889713018616,0.15180831560398547,-0.07139871427074174,14.934243525021708,0.21575526779578372,0.8631497021480049,0.1927225697166311,0.5953757225433526
OOS,rf_tuned 3L-2S stick2,1.3691288329589697,0.2280342714946959,0.15930018540531682,-0.09293951559912517,20.306771746439548,0.09328022996388845,0.7416396297876224,0.04979668264157628,0.5606936416184971
OOS,elasticnet 3L-2S stick2,1.0921636408386266,0.17320657331416656,0.1576409477364825,-0.07149537174779541,6.808291805021934,-0.003882232922312721,1.0460242624886986,0.0038639171325766655,0.5838150289017341
OOS,lightgbm 3L-2S stick2,1.6834669658792614,0.24395692944215686,0.13510278564890546,-0.05949434144210142,52.61946203381584,0.16192624421266189,0.3892607066852401,0.0591352823456488,0.5491329479768786
OOS,SPY buy-and-hold,1.107077542940146,0.12545662322775586,0.11247637220865625,-0.05071355596335669,0.0,0.0,1.0,0.0,
